ticker,company,cik,revenue,shares_outstanding,revenue_per_share
FISV,Fiserv,0000798354,16226000000.0,534777512.0,30.341589980694625
F,Ford Motor Company,0000037996,187267000000.0,3727332952.0,50.24155405798049
FTNT,Fortinet,0001262039,6799600000.0,743000000.0,9.151547779273217
FTV,Fortive,0001659166,4159100000.0,313400000.0,13.270899808551372
FOXA,Fox Corporation (Class A),0001754301,16300000000.0,1.0,16300000000.0
FOX,Fox Corporation (Class B),0001754301,16300000000.0,1.0,16300000000.0
BEN,Franklin Resources,0000038777,8770700000.0,519974911.0,16.867544595819933
FCX,Freeport-McMoRan,0000831259,25186000000.0,945000000.0,26.651851851851852
GRMN,Garmin,0001121788,7245519000.0,192620000.0,37.615611047658604
IT,Gartner,0000749251,6497226000.0,70450294.0,92.22425672205144
GE,GE Aerospace,0000040545,9879000000.0,1048766702.0,9.419635445290863
GEHC,GE HealthCare,0001932393,20625000000.0,456654068.0,45.16547961639969
GEV,GE Vernova,0001996810,38068000000.0,269529464.0,141.23873299432674
GEN,Gen Digital,0000849399,3935000000.0,606000000.0,6.493399339933993
GNRC,Generac,0001474735,4209147000.0,68295960.0,61.63098080764953
GD,General Dynamics,0000040533,52550000000.0,270389759.0,194.34907666011122
GIS,General Mills,0000040704,19486600000.0,533681218.0,36.51355779959264
GM,General Motors,0001467858,167971000000.0,904000000.0,185.80862831858408
GPC,Genuine Parts Company,0000040987,24300141000.0,137617832.0,176.57697877408793
GILD,Gilead Sciences,0000882095,29443000000.0,1241000000.0,23.72522159548751
GPN,Global Payments,0001123360,7705878000.0,236692592.0,32.556481531116106
GL,Globe Life,0000320335,5994318000.0,92218183.0,65.00147590199212
GDDY,GoDaddy,0001609711,4951100000.0,134737000.0,36.74640225030986
GS,Goldman Sachs,0000886982,58283000000.0,296476742.0,196.58540365368694
HAL,Halliburton,0000045012,17973000000.0,835000000.0,21.524550898203593
HIG,Hartford (The),0000874766,1506000000.0,326729000.0,4.609324547254759
HAS,Hasbro,0000046080,4701300000.0,140685758.0,33.41702860924984
HCA,HCA Healthcare,0000860730,75600000000.0,224605100.0,336.59075417254553
DOC,Healthpeak Properties,0000765880,603989000.0,695036731.0,0.869002993742499
HSIC,Henry Schein,0001000228,13184000000.0,115771149.0,113.87984065010878
HSY,Hershey Company (The),0000047111,11692576000.0,202839656.0,57.644428267024864
HPE,Hewlett Packard Enterprise,0001645590,34296000000.0,1328922107.0,25.807381651150454
HLT,Hilton Worldwide,0001585689,12039000000.0,230433192.0,52.24507761017345
HD,Home Depot (The),0000354950,164683000000.0,996000000.0,165.34437751004015
HON,Honeywell,0000773840,37442000000.0,635300000.0,58.935935778372425
HRL,Hormel Foods,0000048465,9167519000.0,550164000.0,16.663247686144494
HST,Host Hotels & Resorts,0001070750,6114000000.0,687800000.0,8.88921198022681
HWM,Howmet Aerospace,0000004281,8252000000.0,401620565.0,20.546756613421923
HPQ,HP Inc.,0000047217,55295000000.0,917000000.0,60.29989094874591
HUBB,Hubbell Incorporated,0000048898,5844600000.0,53253805.0,109.74990425566774
HUM,Humana,0000049071,129664000000.0,120595967.0,1075.19350128848
HBAN,Huntington Bancshares,0000049196,1562000000.0,1567732506.0,0.9963434412579565
HII,Huntington Ingalls Industries,0001501585,12484000000.0,39241527.0,318.1323703330913
IBM,IBM,0000051143,67535000000.0,936952129.0,72.07945626003269
IEX,IDEX Corporation,0000832101,3457500000.0,74347824.0,46.50438727029859
IDXX,Idexx Laboratories,0000874716,4303702000.0,79712000.0,53.99064130871136
ITW,Illinois Tool Works,0000049826,16044000000.0,288600000.0,55.59251559251559
INCY,Incyte,0000879169,5141242000.0,198460009.0,25.905682590188736
IR,Ingersoll Rand,0001699150,7650900000.0,391121689.0,19.561431173917843
PODD,Insulet Corporation,0001145197,1055400000.0,70390816.0,14.99343323424465
INTC,Intel,0000050863,52853000000.0,4994000000.0,10.583299959951942
IBKR,Interactive Brokers,0001381197,2440000000.0,63985335.0,38.133737988556284
ICE,Intercontinental Exchange,0001571949,12640000000.0,567000000.0,22.292768959435627
IFF,International Flavors & Fragrances,0000051253,10890000000.0,255700000.0,42.58897145091905
IP,International Paper,0000051434,23634000000.0,627000000.0,37.69377990430622
INTU,Intuit,0000896878,18831000000.0,279129000.0,67.46343088679428
ISRG,Intuitive Surgical,0001035267,10064700000.0,355100000.0,28.34328358208955
IVZ,Invesco,0000914208,6377100000.0,444000000.0,14.362837837837837
INVH,Invitation Homes,0001687229,2729296000.0,610788732.0,4.468477981024706
IQV,IQVIA,0001478242,16310000000.0,169600000.0,96.16745283018868
IRM,Iron Mountain,0001020569,6901737000.0,295788645.0,23.333339925878494
JBHT,J.B. Hunt,0000728535,7189568000.0,94594725.0,76.00389979462385
JBL,Jabil,0000898293,29802000000.0,105818234.0,281.6338817372439
JKHY,Jack Henry & Associates,0000779152,2375288000.0,72167368.0,32.91360161562218
J,Jacobs Solutions,0000052988,14984646000.0,117586748.0,127.43481944070773
JNJ,Johnson & Johnson,0000200406,94193000000.0,2409898936.0,39.08587144170597
JCI,Johnson Controls,0000833444,23596000000.0,935500000.0,25.222875467664352
JPM,JPMorgan Chase,0000019617,182447000000.0,2696200000.0,67.66819968845041
KVUE,Kenvue,0001944048,15124000000.0,1916115445.0,7.893052602579486
KDP,Keurig Dr Pepper,0001418135,16603000000.0,1358663795.0,12.220094523089871
KEY,KeyCorp,0000091576,1749000000.0,1089647432.0,1.6051063386528497
KEYS,Keysight Technologies,0001601046,5375000000.0,171000000.0,31.432748538011698
